Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Steps,Min Temp,Best Lap Time,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Year,Month,Month_Name,Year_Month,Time_of_the_day,Day_of_Week,is_weekend,date_diff,Streak,Hour
Running,2019-01-24 18:30:08,Running,5.23,478.0,0 days 00:30:00,163.0,,,5:44,--,,,--,,--,00:00:00,--,,,,--:--:--,00:00:00,,,2019,1,January,2019-01,18:30,Thursday,False,,0,18
Running,2019-01-25 07:25:01,Running,5.26,478.0,0 days 00:30:00,171.0,,,5:42,--,,,--,,--,00:00:00,--,,,,--:--:--,00:00:00,,,2019,1,January,2019-01,07:25,Friday,False,1.0,0,7
Running,2019-01-29 07:25:58,Running,5.07,478.0,0 days 00:30:00,151.0,,,5:55,--,,,--,,--,00:00:00,--,,,,--:--:--,00:00:00,,,2019,1,January,2019-01,07:25,Tuesday,False,4.0,1,7
Running,2019-01-31 07:27:10,Running,5.15,478.0,0 days 00:30:00,146.0,,,5:50,--,,,--,,--,00:00:00,--,,,,--:--:--,00:00:00,,,2019,1,January,2019-01,07:27,Thursday,False,2.0,2,7
Running,2019-02-01 19:45:00,Running,5.69,523.0,0 days 00:30:00,148.0,,,5:16,--,,,--,,--,--:--:--,--,,,,--:--:--,00:30:00,,,2019,2,February,2019-02,19:45,Friday,False,1.0,2,19
Running,2019-02-04 07:45:00,Running,5.25,478.0,0 days 00:30:00,136.0,,,5:43,--,,,--,,--,--:--:--,--,,,,--:--:--,00:30:00,,,2019,2,February,2019-02,07:45,Monday,False,3.0,3,7
Running,2019-02-05 07:30:00,Running,5.49,501.0,0 days 00:30:00,137.0,,,5:28,--,,,--,,--,--:--:--,--,,,,--:--:--,00:30:00,,,2019,2,February,2019-02,07:30,Tuesday,False,1.0,3,7
Running,2019-02-07 07:30:00,Running,5.75,523.0,0 days 00:30:00,170.0,,,5:13,--,,,--,,--,--:--:--,--,,,,--:--:--,00:30:00,,,2019,2,February,2019-02,07:30,Thursday,False,2.0,4,7
Running,2019-02-08 07:30:00,Running,5.2,478.0,0 days 00:30:00,161.0,,,5:46,--,,,--,,--,--:--:--,--,,,,--:--:--,00:30:00,,,2019,2,February,2019-02,07:30,Friday,False,1.0,4,7
Running,2019-02-12 19:15:00,Running,6.2,569.0,0 days 00:30:00,170.0,,,4:50,--,,,--,,--,--:--:--,--,,,,--:--:--,00:30:00,,,2019,2,February,2019-02,19:15,Tuesday,False,4.0,5,19
Running,2019-02-14 20:15:00,Running,5.33,478.0,0 days 00:30:00,143.0,,,5:38,--,,,--,,--,--:--:--,--,,,,--:--:--,00:30:00,,,2019,2,February,2019-02,20:15,Thursday,False,2.0,6,20
Running,2019-02-17 12:45:00,Running,5.98,523.0,0 days 00:30:00,150.0,,,5:01,--,,,--,,--,--:--:--,--,,,,--:--:--,00:30:00,,,2019,2,February,2019-02,12:45,Sunday,True,3.0,7,12
